epoch,train/loss_ce,val/loss_ce,val/acc,stage,device,precompute_kg_multihop,kg_hops,kg_embed_method,kg_subtree_pool_method,kg_relation_pool_method,kg_path_max_paths,primekg_dir,star_meta_path,batch_size,input_embed_dim,embedding_size,gat_depth,gat_hidden_dim,num_factors,dropout,model_variant,run_training,epochs,learning_rate,weight_decay,lambda_div,lambda_sp,label_smoothing,warmup_epochs,analysis_output_dir,seed,kg_relation_limit,selection_metric,early_stopping_patience,early_stopping_min_delta,run_name,relation_limit,kg_source_dir,kg_source_key,num_kg_relations,d_kg
21,3.8461345983588178,3.6492506322902365,0.08733624454148471,2,cuda,True,2,path_attn,match,match,64,/home/jethrocsau/scGNN-Factors/data/primekgpp_grace_redaf,data/star_graphs_meta.json,16,512,64,1,168,1,0.3,target_plus_context_kg,True,500,0.0001,0.001,0.0001,0.0001,0.05,20,/home/jethrocsau/scGNN-Factors/results/single_variant_runs/grace_redaf/target_plus_context_kg_path_attn_hop2_relall,42,0,val/loss_ce,30,0.001,single_run,all,/home/jethrocsau/scGNN-Factors/data/primekgpp_grace_redaf,grace_redaf,64,256
22,3.75339150014131,3.6669886237148637,0.11790393013100436,2,cuda,True,2,path_attn,match,match,64,/home/jethrocsau/scGNN-Factors/data/primekgpp_grace_redaf,data/star_graphs_meta.json,16,512,64,1,168,1,0.3,target_plus_context_kg,True,500,0.0001,0.001,0.0001,0.0001,0.05,20,/home/jethrocsau/scGNN-Factors/results/single_variant_runs/grace_redaf/target_plus_context_kg_path_attn_hop2_relall,42,0,val/loss_ce,30,0.001,single_run,all,/home/jethrocsau/scGNN-Factors/data/primekgpp_grace_redaf,grace_redaf,64,256
23,3.7150661074596902,3.6397618581113855,0.09606986899563319,2,cuda,True,2,path_attn,match,match,64,/home/jethrocsau/scGNN-Factors/data/primekgpp_grace_redaf,data/star_graphs_meta.json,16,512,64,1,168,1,0.3,target_plus_context_kg,True,500,0.0001,0.001,0.0001,0.0001,0.05,20,/home/jethrocsau/scGNN-Factors/results/single_variant_runs/grace_redaf/target_plus_context_kg_path_attn_hop2_relall,42,0,val/loss_ce,30,0.001,single_run,all,/home/jethrocsau/scGNN-Factors/data/primekgpp_grace_redaf,grace_redaf,64,256
24,3.6505465486775273,3.5956756329432324,0.11790393013100436,2,cuda,True,2,path_attn,match,match,64,/home/jethrocsau/scGNN-Factors/data/primekgpp_grace_redaf,data/star_graphs_meta.json,16,512,64,1,168,1,0.3,target_plus_context_kg,True,500,0.0001,0.001,0.0001,0.0001,0.05,20,/home/jethrocsau/scGNN-Factors/results/single_variant_runs/grace_redaf/target_plus_context_kg_path_attn_hop2_relall,42,0,val/loss_ce,30,0.001,single_run,all,/home/jethrocsau/scGNN-Factors/data/primekgpp_grace_redaf,grace_redaf,64,256
25,3.607901260127192,3.5427828813744426,0.13537117903930132,2,cuda,True,2,path_attn,match,match,64,/home/jethrocsau/scGNN-Factors/data/primekgpp_grace_redaf,data/star_graphs_meta.json,16,512,64,1,168,1,0.3,target_plus_context_kg,True,500,0.0001,0.001,0.0001,0.0001,0.05,20,/home/jethrocsau/scGNN-Factors/results/single_variant_runs/grace_redaf/target_plus_context_kg_path_attn_hop2_relall,42,0,val/loss_ce,30,0.001,single_run,all,/home/jethrocsau/scGNN-Factors/data/primekgpp_grace_redaf,grace_redaf,64,256
26,3.604159863098808,3.545837796931704,0.08733624454148471,2,cuda,True,2,path_attn,match,match,64,/home/jethrocsau/scGNN-Factors/data/primekgpp_grace_redaf,data/star_graphs_meta.json,16,512,64,1,168,1,0.3,target_plus_context_kg,True,500,0.0001,0.001,0.0001,0.0001,0.05,20,/home/jethrocsau/scGNN-Factors/results/single_variant_runs/grace_redaf/target_plus_context_kg_path_attn_hop2_relall,42,0,val/loss_ce,30,0.001,single_run,all,/home/jethrocsau/scGNN-Factors/data/primekgpp_grace_redaf,grace_redaf,64,256
27,3.5256439271180526,3.4544631778933597,0.14847161572052403,2,cuda,True,2,path_attn,match,match,64,/home/jethrocsau/scGNN-Factors/data/primekgpp_grace_redaf,data/star_graphs_meta.json,16,512,64,1,168,1,0.3,target_plus_context_kg,True,500,0.0001,0.001,0.0001,0.0001,0.05,20,/home/jethrocsau/scGNN-Factors/results/single_variant_runs/grace_redaf/target_plus_context_kg_path_attn_hop2_relall,42,0,val/loss_ce,30,0.001,single_run,all,/home/jethrocsau/scGNN-Factors/data/primekgpp_grace_redaf,grace_redaf,64,256
28,3.5267696359883183,3.4452885311243318,0.13537117903930132,2,cuda,True,2,path_attn,match,match,64,/home/jethrocsau/scGNN-Factors/data/primekgpp_grace_redaf,data/star_graphs_meta.json,16,512,64,1,168,1,0.3,target_plus_context_kg,True,500,0.0001,0.001,0.0001,0.0001,0.05,20,/home/jethrocsau/scGNN-Factors/results/single_variant_runs/grace_redaf/target_plus_context_kg_path_attn_hop2_relall,42,0,val/loss_ce,30,0.001,single_run,all,/home/jethrocsau/scGNN-Factors/data/primekgpp_grace_redaf,grace_redaf,64,256
29,3.477970979524695,3.4345898336718697,0.1572052401746725,2,cuda,True,2,path_attn,match,match,64,/home/jethrocsau/scGNN-Factors/data/primekgpp_grace_redaf,data/star_graphs_meta.json,16,512,64,1,168,1,0.3,target_plus_context_kg,True,500,0.0001,0.001,0.0001,0.0001,0.05,20,/home/jethrocsau/scGNN-Factors/results/single_variant_runs/grace_redaf/target_plus_context_kg_path_attn_hop2_relall,42,0,val/loss_ce,30,0.001,single_run,all,/home/jethrocsau/scGNN-Factors/data/primekgpp_grace_redaf,grace_redaf,64,256
30,3.4221268508745277,3.5023662762870957,0.12663755458515283,2,cuda,True,2,path_attn,match,match,64,/home/jethrocsau/scGNN-Factors/data/primekgpp_grace_redaf,data/star_graphs_meta.json,16,512,64,1,168,1,0.3,target_plus_context_kg,True,500,0.0001,0.001,0.0001,0.0001,0.05,20,/home/jethrocsau/scGNN-Factors/results/single_variant_runs/grace_redaf/target_plus_context_kg_path_attn_hop2_relall,42,0,val/loss_ce,30,0.001,single_run,all,/home/jethrocsau/scGNN-Factors/data/primekgpp_grace_redaf,grace_redaf,64,256
