path_idx,path_hops,relation_seq,weight_mean,weight_std,weight_min,weight_max
10,1,drug_drug,0.01520101613951502,0.0011840230115108647,0.01220100186765194,0.01737176813185215
10,1,drug_protein,0.020812481331328552,0.012364245137394552,0.010825063101947308,0.03464152663946152
10,1,indication,0.02127954363822937,0.012365882718918277,0.012535544112324715,0.030023543164134026
10,2,contraindication | contraindication,0.017297711223363876,,0.017297711223363876,0.017297711223363876
10,2,drug_drug | drug_drug,0.015649331733584404,1.1326965537302771e-06,0.015648530796170235,0.015650132670998573
10,2,drug_protein | disease_protein,0.01233438883597652,0.002903324433227895,0.008761195465922356,0.017026545479893684
10,2,drug_protein | drug_protein,0.010258456692099571,,0.010258456692099571,0.010258456692099571
10,2,drug_protein | protein_protein,0.020865874364972115,0.005542060332269532,0.016947045922279358,0.02478470280766487
10,2,indication | contraindication,0.025189485400915146,,0.025189485400915146,0.025189485400915146
11,1,contraindication,0.021657610327371807,0.015393818726020117,0.008173993788659573,0.08916938304901123
11,1,drug_drug,0.015304218029278682,0.001137228738165266,0.012127441354095936,0.017272237688302994
11,1,drug_protein,0.01669197529554367,,0.01669197529554367,0.01669197529554367
11,1,indication,0.021081232000142336,0.009594205203532165,0.014297104440629482,0.02786535955965519
11,2,contraindication | contraindication,0.01570286462083459,0.0004894585957466002,0.015356765128672123,0.016048964112997055
11,2,drug_drug | drug_drug,0.015036956872791052,1.088574071695435e-06,0.015036187134683132,0.015037726610898972
11,2,drug_protein | disease_protein,0.01282702133591686,0.002309261078886991,0.00972848292440176,0.015700509771704674
11,2,drug_protein | drug_protein,0.010119128972291946,,0.010119128972291946,0.010119128972291946
11,2,drug_protein | protein_protein,0.01707384968176484,0.003790694799059397,0.014393423683941364,0.019754275679588318
11,2,indication | contraindication,0.024592258036136627,,0.024592258036136627,0.024592258036136627
12,1,contraindication,0.023445739033471406,0.016885277395332007,0.007313685957342386,0.09483154118061066
12,1,drug_drug,0.015168998440328454,0.0011236958865485302,0.012162405997514725,0.017372967675328255
12,1,drug_protein,0.05095076933503151,,0.05095076933503151,0.05095076933503151
12,1,indication,0.011531979776918888,,0.011531979776918888,0.011531979776918888
12,2,contraindication | contraindication,0.014830618475874266,0.001695700031412458,0.012890814803540707,0.01603132300078869
12,2,drug_drug | drug_drug,0.01563508901745081,1.1313794647143117e-06,0.015634289011359215,0.015635889023542404
12,2,drug_protein | disease_protein,0.013995407681379999,0.00398138848293327,0.009609757922589779,0.021642984822392464
12,2,drug_protein | drug_protein,0.01065525971353054,,0.01065525971353054,0.01065525971353054
12,2,drug_protein | protein_protein,0.026870600879192352,0.01241297918795117,0.018093299120664597,0.03564790263772011
12,2,indication | contraindication,0.025179749354720116,,0.025179749354720116,0.025179749354720116
13,1,contraindication,0.02259276364929974,0.013658374666396954,0.008724475279450417,0.06689067929983139
13,1,drug_drug,0.015271443131882532,0.0011088321226590614,0.011749347671866417,0.017198733985424042
13,1,drug_protein,0.024045348167419434,4.529732543708336e-05,0.024013318121433258,0.02407737821340561
13,2,contraindication | contraindication,0.014553392926851908,0.0015927208959777624,0.01279005128890276,0.015887534245848656
13,2,drug_drug | contraindication,0.025836637243628502,,0.025836637243628502,0.025836637243628502
13,2,drug_drug | drug_drug,0.015583360102027655,1.1294038311903634e-06,0.015582561492919922,0.015584158711135387
13,2,drug_protein | disease_protein,0.013756478338369302,0.0026358661868940937,0.009090783074498177,0.015741974115371704
13,2,drug_protein | drug_protein,0.01002122089266777,,0.01002122089266777,0.01002122089266777
13,2,drug_protein | protein_protein,0.031196548603475094,0.021220101873710005,0.016191670671105385,0.0462014265358448
13,2,indication | contraindication,0.02491459622979164,,0.02491459622979164,0.02491459622979164
14,1,contraindication,0.02215640118591628,0.013163418334295492,0.006734302267432213,0.06406982243061066
